  6.9218272209841E+03 -1.7866585316318E+03 -1.0811385081790E+03 -6.9644561570690E+02 -9.1296833091499E+02 -1.8954790101505E+03 -4.6593886343551E+02 -8.3198360965432E+01
 -1.7866585316318E+03  8.5826468097679E+03 -1.1734681570372E+03 -1.2140059982057E+03 -1.0665218396208E+03 -1.5202478146220E+03 -4.0823974383786E+02 -1.4135047248125E+03
 -1.0811385081790E+03 -1.1734681570372E+03  7.0867975232376E+03 -1.9120796060806E+03 -1.1106763821931E+02 -1.7464514363243E+02 -1.5417562232875E+03 -1.0926422468016E+03
 -6.9644561570690E+02 -1.2140059982057E+03 -1.9120796060806E+03  6.7949913300946E+03 -1.1865013941961E+03 -2.1251028386378E+02 -5.1203858409740E+02 -1.0614098479441E+03
 -9.1296833091499E+02 -1.0665218396208E+03 -1.1106763821931E+02 -1.1865013941961E+03  6.2637850604798E+03 -1.1268799313151E+03 -7.1327786191115E+02 -1.1465680643023E+03
 -1.8954790101505E+03 -1.5202478146220E+03 -1.7464514363243E+02 -2.1251028386378E+02 -1.1268799313151E+03  7.6930054985166E+03 -9.6402108873122E+02 -1.7992222262016E+03
 -4.6593886343551E+02 -4.0823974383786E+02 -1.5417562232875E+03 -5.1203858409740E+02 -7.1327786191115E+02 -9.6402108873122E+02  5.0680641808501E+03 -4.6279181554947E+02
 -8.3198360965432E+01 -1.4135047248125E+03 -1.0926422468016E+03 -1.0614098479441E+03 -1.1465680643023E+03 -1.7992222262016E+03 -4.6279181554947E+02  7.0593372865770E+03
